Date,spot,log_ret,rv_1m,rv_3m,iv_1m_synth,iv_3m_synth
2022-12-13,1.0541739463806152,0.001853566131702255,0.08228700623113525,0.12173667070786079,0.0951227272112607,0.13444784266013343
2022-12-14,1.062665343284607,0.00802275589918932,0.08547231501514314,0.12257120797335572,0.09880490344323753,0.1353695183911425
2022-12-15,1.0676347017288208,0.004665415530993445,0.08585375673129705,0.12269853516995,0.09924584519059904,0.13551014049617072
2022-12-16,1.064056158065796,-0.003357472785711803,0.08703253891293086,0.12300743948890326,0.10060850232251715,0.13585129915469302
2022-12-19,1.05850350856781,-0.005232043416178128,0.08856793042240411,0.12286816540921505,0.10238339527837302,0.13569748272909443
2022-12-20,1.0614584684371948,0.002787749794717641,0.08753737147812221,0.11901887526644897,0.10119208231388507,0.13144626777095117
2022-12-21,1.062699317932129,0.0011683215286929897,0.08034266007559082,0.11901868547319858,0.09287508791279592,0.1314460581603801
2022-12-22,1.0610079765319824,-0.0015928200295245159,0.07929510828027689,0.11421602411643388,0.09166413142975874,0.12614192543940445
2022-12-23,1.060333013534546,-0.0006363550446384674,0.07277284421899839,0.11305117430567696,0.08412447755830638,0.12485544747702315
2022-12-26,1.0667804479599,0.00606216291441548,0.0746790691615459,0.1130478552781097,0.08632804922190446,0.1248517818921706
2022-12-27,1.064022183418274,-0.0025889456317026356,0.07368308164529587,0.11153846685904344,0.08517670038624557,0.1231847902166167
2022-12-28,1.0637166500091553,-0.0002871907082003092,0.0728987540332673,0.10933234055786066,0.08427002769391685,0.1207483105584733
2022-12-29,1.062925100326538,-0.0007444128462590291,0.07228345456275875,0.10893637645735346,0.08355874937225795,0.12031100174450214
2022-12-30,1.066075325012207,0.0029593483845724387,0.0659784867265597,0.10885008219618934,0.07627028715899047,0.12021569704149027
2023-01-02,1.0709733963012695,0.004583966492703552,0.059352397893979655,0.10525694429267957,0.07091657232116456,0.11527828780601405
2023-01-03,1.0677714347839355,-0.002994245842760573,0.060723761663719136,0.10418145538533159,0.07255513152696237,0.11410040333837558
2023-01-04,1.0546854734420776,-0.012331112219669753,0.07369199489112531,0.10415499731221141,0.08805008509550832,0.11407142623488434
2023-01-05,1.0606365203857422,0.0056266257915620664,0.07517744585142064,0.10361947028723233,0.08982496015015227,0.11348491254756146
2023-01-06,1.0522217750549316,-0.007965313943903736,0.07955156715303086,0.10500442902878136,0.09505133179871295,0.11500173097204283
2023-01-09,1.0656323432922363,0.01266446764454612,0.08975286140658655,0.10732989598130034,0.10724023818450101,0.11754860187388509
2023-01-10,1.073318362236023,0.007186750031592487,0.09143711498661848,0.10792110583714935,0.10925265040462516,0.11819609986439111
2023-01-11,1.0738946199417114,0.0005367494741383354,0.09138607244551936,0.10778315272114364,0.10919166277504735,0.11804501245521816
2023-01-12,1.0766000747680664,0.0025161245552818563,0.0878889639779809,0.10765362641321138,0.10501318044993302,0.117903154156893
2023-01-13,1.0860239267349243,0.00871525666027755,0.09129132325230326,0.10696207341987403,0.10907845272370142,0.11714575952098774
2023-01-16,1.082461953163147,-0.0032852201698865342,0.09125006570933403,0.10739779412304612,0.10902915659357712,0.11762296448794596
2023-01-17,1.0830129384994507,0.000508881770290038,0.08858328994181265,0.10489513583619496,0.10584278833732608,0.11488203215126783
2023-01-18,1.0793308019638062,-0.00340569357753422,0.08967906162430453,0.10537806298758395,0.10715205931080432,0.11541093801606625
